 4.00000000e+03 1.97000000e+01 5.08000000e-02 3.96000000e+01 3.64840000e-02 1.08684000e+02
 1.60000000e+03 0.00000000e+00 3.04800000e-01 3.96000000e+01 3.10138000e-03 1.24049000e+02
 1.25000000e+03 7.30000000e+00 2.28600000e-01 5.55000000e+01 1.11706000e-02 1.25724000e+02
 1.60000000e+03 4.00000000e+00 2.28600000e-01 3.96000000e+01 4.73801000e-03 1.25319000e+02
 2.00000000e+03 9.50000000e+00 2.54000000e-02 3.17000000e+01 4.61377000e-03 1.30496000e+02
 1.60000000e+03 4.80000000e+00 2.54000000e-02 5.55000000e+01 8.73218000e-04 1.21474000e+02
 5.00000000e+03 3.30000000e+00 1.01600000e-01 3.17000000e+01 2.51435000e-03 1.22082000e+02
 3.15000000e+03 3.00000000e+00 3.04800000e-01 3.96000000e+01 4.95741000e-03 1.18922000e+02
 1.60000000e+03 9.90000000e+00 1.52400000e-01 7.13000000e+01 1.93001000e-02 1.21789000e+02
 6.30000000e+02 0.00000000e+00 3.04800000e-01 3.17000000e+01 3.31266000e-03 1.29095000e+02
 1.25000000e+03 4.00000000e+00 2.28600000e-01 3.96000000e+01 4.73801000e-03 1.28339000e+02
 8.00000000e+02 0.00000000e+00 5.08000000e-02 3.17000000e+01 8.12164000e-04 1.22790000e+02
 4.00000000e+02 0.00000000e+00 3.04800000e-01 3.17000000e+01 3.31266000e-03 1.25045000e+02
 5.00000000e+03 4.00000000e+00 2.28600000e-01 7.13000000e+01 4.00603000e-03 1.21118000e+02
 1.60000000e+04 0.00000000e+00 2.54000000e-02 5.55000000e+01 4.12290000e-04 1.25683000e+02
 1.60000000e+03 8.40000000e+00 5.08000000e-02 3.96000000e+01 5.66229000e-03 1.30965000e+02
 6.30000000e+03 4.00000000e+00 2.28600000e-01 3.96000000e+01 4.73801000e-03 1.14249000e+02
 8.00000000e+02 1.54000000e+01 5.08000000e-02 5.55000000e+01 2.71925000e-02 1.30430000e+02
 3.15000000e+03 2.22000000e+01 2.54000000e-02 7.13000000e+01 2.14178000e-02 1.24127000e+02
 1.25000000e+04 0.00000000e+00 3.04800000e-01 5.55000000e+01 2.83081000e-03 1.11076000e+02
 1.00000000e+03 2.22000000e+01 2.54000000e-02 7.13000000e+01 2.14178000e-02 1.34247000e+02
 6.30000000e+03 4.80000000e+00 2.54000000e-02 3.17000000e+01 9.30789000e-04 1.32898000e+02
 1.60000000e+04 2.70000000e+00 1.52400000e-01 7.13000000e+01 2.43851000e-03 1.10364000e+02
 4.00000000e+03 2.00000000e+00 2.28600000e-01 7.13000000e+01 2.93031000e-03 1.24086000e+02
 5.00000000e+03 1.23000000e+01 1.01600000e-01 5.55000000e+01 3.68233000e-02 1.12014000e+02
